suite,representative,feasible_worlds,initial_candidates,root_candidates,removed_by_root,exact_candidates,unsupported_survivors,identifiable_cells,freely_variable_cells,literal_queries,infeasible_queries,fixed_calls,gac_calls,factor_updates,deletions,branches,search_nodes,median_solver_us,root_domains,supported_domains
axis_2,1788,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.003,1 4 1 1 2 2 4 1,1 4 1 1 2 2 4 1
axis_2,268,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.003,2 4 4 1 1 2 1 1,2 4 4 1 1 2 1 1
axis_2,349,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.403,2 4 5 1 3 2 7 1,2 4 5 1 3 2 7 1
axis_2,430,6,24,12,12,12,0,5,0,5,0,6,1,69,14,0,0,2.253,2 4 5 1 5 2 7 1,2 4 5 1 5 2 7 1
axis_2,348,3,24,10,14,10,0,7,1,4,0,5,1,64,14,0,0,2.213,1 4 4 1 2 2 7 1,1 4 4 1 2 2 7 1
axis_2,2031,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.093,1 4 1 1 2 4 4 1,1 4 1 1 2 4 4 1
axis_2,511,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.133,2 4 4 1 1 4 1 1,2 4 4 1 1 4 1 1
axis_2,592,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.464,2 4 5 1 3 4 7 1,2 4 5 1 3 4 7 1
axis_2,673,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.363,2 4 5 1 5 4 7 1,2 4 5 1 5 4 7 1
axis_2,591,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.333,1 4 4 1 2 4 7 1,1 4 4 1 2 4 7 1
axis_2,2754,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.163,1 1 1 1 2 4 1 2,1 1 1 1 2 4 1 2
axis_2,2674,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.063,2 1 1 1 1 4 1 2,2 1 1 1 1 4 1 2
axis_2,2755,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.133,2 1 1 1 2 4 1 2,2 1 1 1 2 4 1 2
axis_2,2836,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.033,2 1 1 1 4 4 1 2,2 1 1 1 4 4 1 2
axis_2,594,3,24,10,14,10,0,7,1,5,0,6,1,74,14,0,0,2.423,1 1 1 2 2 4 1 7,1 1 1 2 2 4 1 7
axis_2,514,3,24,10,14,10,0,7,1,5,0,6,1,73,14,0,0,2.273,2 1 1 2 1 4 1 7,2 1 1 2 1 4 1 7
axis_2,595,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.324,2 1 1 2 2 4 1 7,2 1 1 2 2 4 1 7
axis_2,676,3,24,10,14,10,0,7,1,4,0,5,1,64,14,0,0,2.194,2 1 1 2 4 4 1 7,2 1 1 2 4 4 1 7
axis_2,114,1,24,8,16,8,0,8,0,5,0,6,1,75,16,0,0,2.184,1 4 1 2 2 1 1 1,1 4 1 2 2 1 1 1
axis_2,34,1,24,8,16,8,0,8,0,5,0,6,1,74,16,0,0,2.063,2 4 1 2 1 1 1 1,2 4 1 2 1 1 1 1
axis_2,115,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.103,2 4 1 2 2 1 1 1,2 4 1 2 2 1 1 1
axis_2,196,1,24,8,16,8,0,8,0,4,0,5,1,65,16,0,0,2.033,2 4 1 2 4 1 1 1,2 4 1 2 4 1 1 1
axis_2,357,6,24,12,12,12,0,5,0,6,0,7,1,79,14,0,0,2.434,1 4 1 3 2 3 1 7,1 4 1 3 2 3 1 7
axis_2,277,6,24,12,12,12,0,5,0,6,0,7,1,78,14,0,0,2.274,2 4 1 3 1 3 1 7,2 4 1 3 1 3 1 7
axis_2,358,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.374,2 4 1 3 2 3 1 7,2 4 1 3 2 3 1 7
axis_2,439,6,24,12,12,12,0,5,0,5,0,6,1,69,14,0,0,2.253,2 4 1 3 4 3 1 7,2 4 1 3 4 3 1 7
axis_2,600,5,24,12,12,12,0,5,0,6,0,7,1,80,14,0,0,2.433,1 4 1 3 2 5 1 7,1 4 1 3 2 5 1 7
axis_2,520,5,24,12,12,12,0,5,0,6,0,7,1,79,14,0,0,2.413,2 4 1 3 1 5 1 7,2 4 1 3 1 5 1 7
axis_2,601,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.474,2 4 1 3 2 5 1 7,2 4 1 3 2 5 1 7
axis_2,682,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.383,2 4 1 3 4 5 1 7,2 4 1 3 4 5 1 7
axis_2,3483,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.013,1 1 1 1 2 4 2 2,1 1 1 1 2 4 2 2
axis_2,2683,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.983,2 1 2 1 1 4 1 2,2 1 2 1 1 4 1 2
axis_2,2763,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.294,3 1 3 1 3 4 7 2,3 1 3 1 3 4 7 2
axis_2,2845,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.234,2 1 3 1 5 4 7 2,2 1 3 1 5 4 7 2
axis_2,1323,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.193,1 1 1 2 2 4 2 7,1 1 1 2 2 4 2 7
axis_2,523,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.184,2 1 2 2 1 4 1 7,2 1 2 2 1 4 1 7
axis_2,603,27,24,15,9,15,0,3,1,6,0,7,1,77,11,0,0,2.524,3 1 3 2 3 4 7 7,3 1 3 2 3 4 7 7
axis_2,685,15,24,14,10,14,0,4,1,5,0,6,1,69,12,0,0,2.423,2 1 3 2 5 4 7 7,2 1 3 2 5 4 7 7
axis_2,843,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.963,1 4 1 2 2 1 2 1,1 4 1 2 2 1 2 1
axis_2,43,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.953,2 4 2 2 1 1 1 1,2 4 2 2 1 1 1 1
axis_2,123,9,24,13,11,13,0,4,0,6,0,7,1,78,13,0,0,2.303,3 4 3 2 3 1 7 1,3 4 3 2 3 1 7 1
axis_2,205,5,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.204,2 4 3 2 5 1 7 1,2 4 3 2 5 1 7 1
axis_2,1086,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.234,1 4 1 3 2 3 2 7,1 4 1 3 2 3 2 7
axis_2,286,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.213,2 4 2 3 1 3 1 7,2 4 2 3 1 3 1 7
axis_2,366,54,24,17,7,17,0,1,0,7,0,8,1,82,11,0,0,2.564,3 4 3 3 3 3 7 7,3 4 3 3 3 3 7 7
axis_2,448,30,24,16,8,16,0,2,0,6,0,7,1,74,12,0,0,2.493,2 4 3 3 5 3 7 7,2 4 3 3 5 3 7 7
axis_2,1329,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.323,1 4 1 3 2 5 2 7,1 4 1 3 2 5 2 7
axis_2,529,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.324,2 4 2 3 1 5 1 7,2 4 2 3 1 5 1 7
axis_2,609,45,24,17,7,17,0,1,0,7,0,8,1,83,11,0,0,2.714,3 4 3 3 3 5 7 7,3 4 3 3 3 5 7 7
axis_2,691,25,24,16,8,16,0,2,0,6,0,7,1,75,12,0,0,2.624,2 4 3 3 5 5 7 7,2 4 3 3 5 5 7 7
axis_2,4212,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,2.003,1 1 1 1 2 4 4 2,1 1 1 1 2 4 4 2
axis_2,2692,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.993,2 1 4 1 1 4 1 2,2 1 4 1 1 4 1 2
axis_2,2773,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.333,2 1 5 1 3 4 7 2,2 1 5 1 3 4 7 2
axis_2,2854,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.233,2 1 5 1 5 4 7 2,2 1 5 1 5 4 7 2
axis_2,2772,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.174,1 1 4 1 2 4 7 2,1 1 4 1 2 4 7 2
axis_2,2052,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.193,1 1 1 2 2 4 4 7,1 1 1 2 2 4 4 7
axis_2,532,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.173,2 1 4 2 1 4 1 7,2 1 4 2 1 4 1 7
axis_2,613,15,24,14,10,14,0,4,1,5,0,6,1,70,12,0,0,2.563,2 1 5 2 3 4 7 7,2 1 5 2 3 4 7 7
axis_2,694,18,24,14,10,14,0,4,1,5,0,6,1,69,12,0,0,2.443,2 1 5 2 5 4 7 7,2 1 5 2 5 4 7 7
axis_2,612,9,24,12,12,12,0,6,2,4,0,5,1,64,12,0,0,2.394,1 1 4 2 2 4 7 7,1 1 4 2 2 4 7 7
axis_2,1572,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.953,1 4 1 2 2 1 4 1,1 4 1 2 2 1 4 1
axis_2,52,1,24,8,16,8,0,8,0,4,0,5,1,66,16,0,0,1.993,2 4 4 2 1 1 1 1,2 4 4 2 1 1 1 1
axis_2,133,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.354,2 4 5 2 3 1 7 1,2 4 5 2 3 1 7 1
axis_2,214,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.534,2 4 5 2 5 1 7 1,2 4 5 2 5 1 7 1
axis_2,132,3,24,10,14,10,0,7,1,4,0,5,1,65,14,0,0,2.173,1 4 4 2 2 1 7 1,1 4 4 2 2 1 7 1
axis_2,1815,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.214,1 4 1 3 2 3 4 7,1 4 1 3 2 3 4 7
axis_2,295,6,24,12,12,12,0,5,0,5,0,6,1,70,14,0,0,2.223,2 4 4 3 1 3 1 7,2 4 4 3 1 3 1 7
axis_2,376,30,24,16,8,16,0,2,0,6,0,7,1,75,12,0,0,2.724,2 4 5 3 3 3 7 7,2 4 5 3 3 3 7 7
axis_2,457,36,24,16,8,16,0,2,0,6,0,7,1,74,12,0,0,2.474,2 4 5 3 5 3 7 7,2 4 5 3 5 3 7 7
axis_2,375,18,24,14,10,14,0,4,1,5,0,6,1,69,12,0,0,2.434,1 4 4 3 2 3 7 7,1 4 4 3 2 3 7 7
axis_2,2058,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.354,1 4 1 3 2 5 4 7,1 4 1 3 2 5 4 7
axis_2,538,5,24,12,12,12,0,5,0,5,0,6,1,71,14,0,0,2.544,2 4 4 3 1 5 1 7,2 4 4 3 1 5 1 7
axis_2,619,25,24,16,8,16,0,2,0,6,0,7,1,76,12,0,0,2.724,2 4 5 3 3 5 7 7,2 4 5 3 3 5 7 7
axis_2,700,30,24,16,8,16,0,2,0,6,0,7,1,75,12,0,0,2.594,2 4 5 3 5 5 7 7,2 4 5 3 5 5 7 7
